"","athlete_id","date","game_exposure","training_exposure","squat_depth_left","squat_depth_right","high_intensity_distance","collisions","distance","game_injury","training_injury","muscle_soreness"
"57",16779,2017-03-28,FALSE,TRUE,76.2,75.4,1,1,1,FALSE,FALSE,8
"58",16779,2017-03-29,FALSE,TRUE,76.2,75.4,1,1,1,FALSE,FALSE,8
"59",16779,2017-03-30,FALSE,TRUE,91.2,90.1,1,1,1,FALSE,FALSE,7
"60",16779,2017-03-31,FALSE,TRUE,83.7,82.75,1,1,1,FALSE,FALSE,8
"61",16779,2017-04-01,FALSE,TRUE,83.5,80.7,1,1,1,FALSE,FALSE,8
"62",16779,2017-04-02,TRUE,FALSE,87.35,85.4,1,1,1,FALSE,FALSE,7
"63",16779,2017-04-03,FALSE,TRUE,87.35,85.4,1,1,1,FALSE,FALSE,8
"64",16779,2017-04-04,FALSE,TRUE,87.35,85.4,1,1,1,FALSE,FALSE,8
"65",16779,2017-04-05,FALSE,TRUE,86,82.6,1,1,1,FALSE,FALSE,7
"66",16779,2017-04-06,FALSE,TRUE,84.75,81.65,1,1,1,FALSE,FALSE,8
"67",16779,2017-04-07,FALSE,TRUE,84.75,81.65,1,1,1,FALSE,FALSE,8
"68",16779,2017-04-08,FALSE,TRUE,86,82.6,1,1,1,FALSE,FALSE,6
"69",16779,2017-04-09,FALSE,TRUE,86,82.6,1,1,1,FALSE,FALSE,7
"70",16779,2017-04-10,FALSE,TRUE,86,82.6,1,1,1,FALSE,FALSE,8
"71",16779,2017-04-11,FALSE,TRUE,86,82.6,1,1,1,FALSE,FALSE,8
"72",16779,2017-04-12,FALSE,TRUE,88.6,83.7,1,1,1,FALSE,FALSE,7
"73",16779,2017-04-13,FALSE,TRUE,88.6,83.7,1,1,1,FALSE,FALSE,5
"74",16779,2017-04-14,FALSE,TRUE,83.5,83,1,1,1,FALSE,FALSE,8
"75",16779,2017-04-15,TRUE,FALSE,86.05,83.35,1,1,1,FALSE,FALSE,8
"76",16779,2017-04-16,FALSE,TRUE,86.05,83.35,1,1,1,FALSE,FALSE,7
"77",16779,2017-04-17,FALSE,TRUE,86.05,83.35,1,1,1,FALSE,FALSE,8
"78",16779,2017-04-18,FALSE,TRUE,86.05,83.35,1,1,1,FALSE,FALSE,8
"79",16779,2017-04-19,FALSE,TRUE,83.5,83,1,1,1,FALSE,FALSE,7
"80",16779,2017-04-20,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,8
"81",16779,2017-04-21,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,6
"82",16779,2017-04-22,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,8
"83",16779,2017-04-23,TRUE,FALSE,87.1,89.9,1,1,1,FALSE,FALSE,7
"84",16779,2017-04-24,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,8
"85",16779,2017-04-25,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,8
"86",16779,2017-04-26,FALSE,TRUE,87.1,89.9,1,1,1,FALSE,FALSE,7
"87",16779,2017-04-27,FALSE,TRUE,96.7,98.2,1,1,1,FALSE,FALSE,8
"88",16779,2017-04-28,FALSE,TRUE,96.7,98.2,1,1,1,FALSE,FALSE,6
"89",16779,2017-04-29,FALSE,TRUE,95.6,95,1,1,1,FALSE,FALSE,5
"90",16779,2017-04-30,FALSE,TRUE,96.15,96.6,1,1,1,FALSE,FALSE,8
"91",16779,2017-05-01,FALSE,TRUE,96.15,96.6,1,1,1,FALSE,FALSE,7
"92",16779,2017-05-02,FALSE,TRUE,96.15,96.6,1,1,1,FALSE,FALSE,8
"93",16779,2017-05-03,FALSE,TRUE,96.15,96.6,1,1,1,FALSE,FALSE,8
"94",16779,2017-05-04,FALSE,TRUE,86.5,86.9,1,1,1,FALSE,FALSE,7
"95",16779,2017-05-05,FALSE,TRUE,91.05,90.95,1,1,1,FALSE,FALSE,8
"96",16779,2017-05-06,FALSE,TRUE,96.3,95.6,1,1,1,FALSE,FALSE,6
"97",16779,2017-05-07,TRUE,FALSE,91.4,91.25,1,1,1,FALSE,FALSE,8
"98",16779,2017-05-08,FALSE,TRUE,91.4,91.25,1,1,1,FALSE,FALSE,7
"99",16779,2017-05-09,FALSE,TRUE,91.4,91.25,1,1,1,FALSE,FALSE,8
"100",16779,2017-05-10,FALSE,TRUE,91.4,91.25,1,1,1,FALSE,FALSE,8
"101",16779,2017-05-11,FALSE,TRUE,87.8,84.9,1,1,1,FALSE,FALSE,7
"102",16779,2017-05-12,FALSE,TRUE,92.05,90.25,1,1,1,FALSE,FALSE,6
"103",16779,2017-05-13,FALSE,TRUE,79,78.3,1,1,1,FALSE,FALSE,8
"104",16779,2017-05-14,TRUE,FALSE,83.4,81.6,1,1,1,FALSE,FALSE,8
"105",16779,2017-05-15,FALSE,TRUE,83.4,81.6,1,1,1,FALSE,FALSE,7
"106",16779,2017-05-16,FALSE,TRUE,83.4,81.6,1,1,1,FALSE,FALSE,8
"107",16779,2017-05-17,FALSE,TRUE,83.4,81.6,1,1,1,FALSE,FALSE,8
"108",16779,2017-05-18,FALSE,TRUE,92.9,91.2,1,1,1,FALSE,FALSE,7
"109",16779,2017-05-19,FALSE,TRUE,85.95,84.75,1,1,1,FALSE,FALSE,8
"110",16779,2017-05-20,FALSE,TRUE,90,88.3,1,1,1,FALSE,FALSE,8
"111",16779,2017-05-21,TRUE,FALSE,91.45,89.75,1,1,1,FALSE,FALSE,7
"112",16779,2017-05-22,FALSE,TRUE,91.45,89.75,1,1,1,FALSE,FALSE,8
"113",16780,2017-01-31,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"114",16780,2017-02-01,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,5
"115",16780,2017-02-02,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,6
"116",16780,2017-02-03,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,4
"117",16780,2017-02-04,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,6
"118",16780,2017-02-05,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,5
"119",16780,2017-02-06,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,4
